epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6429,1.37914,3.76778,1.15028,0.97435,0.06147,0.07645,0.04527,1.34733,3.32472,0.95207,0.000231389,0.000231389,0.000231389
2,26.4509,1.20377,2.35051,0.97822,0.59614,0.11494,0.1511,0.09288,1.35619,2.21586,0.97873,0.000468924,0.000468924,0.000468924
3,38.7979,1.19239,1.8493,0.98087,0.13303,0.25918,0.18572,0.10792,1.29137,1.77732,0.9814,0.000705988,0.000705988,0.000705988
4,50.5717,1.16262,1.67029,0.97668,0.22902,0.35779,0.24571,0.14862,1.22565,1.61854,0.98433,0.000711879,0.000711879,0.000711879
5,62.1829,1.09183,1.64786,0.95388,0.47094,0.27257,0.30264,0.17737,1.27658,1.65366,1.00967,0.000711173,0.000711173,0.000711173
6,73.8292,1.08549,1.57683,0.95227,0.26083,0.32233,0.29317,0.16751,1.26826,1.60106,0.97123,0.000710466,0.000710466,0.000710466
7,85.1266,1.04678,1.49828,0.94042,0.36362,0.3174,0.35508,0.20264,1.30568,1.60662,0.97234,0.000709759,0.000709759,0.000709759
8,96.7575,1.05078,1.36461,0.95189,0.35969,0.47209,0.40713,0.26012,1.1668,1.38751,0.9491,0.000709052,0.000709052,0.000709052
9,108.569,1.00441,1.31294,0.93537,0.36563,0.45914,0.4231,0.26779,1.20017,1.41406,0.95825,0.000708345,0.000708345,0.000708345
10,120.372,1.00601,1.25285,0.92805,0.38351,0.49801,0.44527,0.28417,1.17777,1.43097,0.96002,0.000707638,0.000707638,0.000707638
11,131.753,1.01452,1.26319,0.93676,0.39756,0.43816,0.47337,0.30012,1.24024,1.33099,0.99,0.000706931,0.000706931,0.000706931
